,Pix_a_a,Pix_a_o,Pix_b_a,Pix_b_o,Sn_active_and,Sn_active_or,Sn_blob_and,Sn_blob_or,Sn_unfiltered,St_active_and,St_active_or,St_blob_and,St_blob_or,St_unfiltered,Pix_a_a_si,Pix_a_o_si,Pix_b_a_si,Pix_b_o_si,Sn_active_and_pa,Sn_active_or_pa,Sn_blob_and_pa,Sn_blob_or_pa,St_active_and_pa,St_active_or_pa,St_blob_and_pa,St_blob_or_pa,harp_area_si,LL,area,hale,longitude,mcintosh1,mcintosh2,mcintosh3,hale_enc,area_si
2015-11-08,24011.116666666665,29770.6,209267.00833333333,210310.575,7.64691221924343e+19,8.250137377471517e+19,1.3390955008457504e+20,1.339003600332266e+20,1.3436773323044268e+20,6.274297153939324e+19,7.908821939561795e+19,1.6854744331011346e+20,1.690026164120711e+20,1.939670141010141e+20,3184225905089971.0,3948017788846617.5,2.775187169619401e+16,2.789026392758496e+16,24014.98024062889,20896.910345182943,4825.24391689732,4800.971420739837,19704.309119242727,20032.386788896143,6073.372100997017,6059.556010329415,5.927596498696272e+16,12,190,Beta,52,E,s,o,1,5.78303e+17
2015-11-09,15369.372093023258,19099.23255813953,159757.32558139536,160930.04651162788,6.303889103889547e+19,6.78676988295806e+19,1.0643915020995674e+20,1.0649015609861051e+20,1.0839620527356667e+20,4.6702421086995276e+19,5.724354313439482e+19,1.339251282505736e+20,1.3443873521557823e+20,1.8907562363859347e+20,2038203947070552.5,2532838098421038.0,2.118616229749853e+16,2.1341682276736796e+16,30928.647316918075,26795.11922688192,5023.993902969587,4989.773285805525,22913.51714538637,22600.55357272154,6321.349113160823,6299.3504200988555,5.927596498696272e+16,7,120,Beta,69,C,s,o,1,3.65244e+17
2012-09-21,22736.0,28040.25,167515.0,169138.75,8.532520101619815e+19,9.310929259285982e+19,1.6143159445120195e+20,1.6175404737615256e+20,1.5495966042988164e+20,6.863926407127764e+19,6.800716484997388e+19,4.843649460093361e+19,4.993264300149834e+19,3.869769976935804e+19,3015126750794968.5,3718548024013838.0,2.221494359867255e+16,2.2430276641494656e+16,28299.042815928486,25039.15291441005,7266.8019045003675,7211.4156219062115,22764.968024372512,18288.634276280307,2180.35640674901,2226.1269354621318,1.7629460434280707e+17,12,280,Beta,-50,E,k,o,1,8.52236e+17
2012-09-22,27764.485436893203,34447.18446601942,212339.36893203887,214055.43689320388,1.0348065365455009e+20,1.1349929791115334e+20,1.982283455137221e+20,1.9830324795533548e+20,2.1174399426285004e+20,1.2749923708423823e+20,1.338999095537192e+20,1.204958288839235e+20,1.2039363874612393e+20,8.097081912601885e+19,3681977602165466.0,4568201415071431.0,2.815931173090748e+16,2.8386887488115908e+16,28104.6396354205,24845.510869265952,7039.530916380599,6985.734101294289,34627.923051257196,29311.297245335114,4279.075782653737,4241.170815099978,1.7629460434280707e+17,12,250,Beta,-37,E,k,o,1,7.60925e+17
2012-09-23,33635.091743119265,42474.88990825688,288671.88990825694,290543.6605504587,1.2124255715439416e+20,1.3564916180257373e+20,2.471263757194108e+20,2.4721646056374016e+20,2.586101534140352e+20,1.6456853030011663e+20,1.6222132997000115e+20,1.2293553515920523e+20,1.2288233336621964e+20,7.315923600621689e+19,4460506020413523.5,5632792786745979.0,3.8282122513411576e+16,3.853034672763814e+16,27181.345927912018,24082.04365723476,6455.399008579885,6416.149387682766,36894.587642515915,28799.449245090225,3211.304052332432,3189.235078387579,1.7629460434280707e+17,12,320,Beta-Gamma,-24,E,k,o,3,9.73984e+17
2012-09-24,37271.09174311927,47590.35779816514,341066.6513761468,342565.66972477065,1.0898659752946568e+20,1.2271270006244018e+20,2.128921431991573e+20,2.1290293398551583e+20,2.1861397522174303e+20,1.3148038786105116e+20,1.250888684323584e+20,7.946468574765344e+19,7.942754390535314e+19,3.664097712854621e+19,4942692898751425.0,6311178785940872.0,4.523043562492443e+16,4.542922742308014e+16,22050.044330489724,19443.705245017256,4706.833800244058,4686.474898698174,26600.962381106958,19820.20675931622,1756.8852620969249,1748.3798076874245,1.7629460434280707e+17,13,260,Beta-Gamma,-11,E,h,o,3,7.91362e+17
2012-09-25,36450.02884615384,47225.0,355336.7403846154,356608.5192307692,6.469372402703417e+19,7.410380721416731e+19,1.3965049576134792e+20,1.3965461410024989e+20,1.4193338666491224e+20,1.0770451374044063e+20,1.0485251020638192e+20,7.317834259371638e+19,7.319572357321231e+19,5.224053488050024e+19,4833807927572427.0,6262726988313353.0,4.712285852717895e+16,4.729151503756484e+16,13383.59425868289,11832.514390687911,2963.540415970351,2953.058576984026,22281.504634490226,16742.308965733835,1552.9266449638121,1547.7559455448002,1.7629460434280707e+17,13,200,Beta-Gamma,3,E,s,o,3,6.0874e+17
2012-09-26,34305.51923076924,45067.21153846153,355217.6346153846,356450.43269230775,4.759577728573907e+19,5.367595057949638e+19,1.0503091252434066e+20,1.0504283482881629e+20,1.041918871828173e+20,8.318882703338524e+19,8.551339735916895e+19,7.099484646939037e+19,7.102359083871553e+19,6.707784353005491e+19,4549414529055400.0,5976572620221281.0,4.7107063356921144e+16,4.72705504461215e+16,10461.956584031359,8981.058876100302,2229.621314505251,2222.1622942288996,18285.6115884999,14308.099774416,1507.0955693305714,1502.4913009986524,1.7629460434280707e+17,13,180,Beta-Gamma,16,E,s,o,3,5.47866e+17
2012-09-27,31207.221153846152,41243.25,348348.66346153844,350038.4903846154,4.020936114657898e+19,4.49563190831429e+19,8.998356530002716e+19,8.999526156821584e+19,8.947561799164414e+19,5.733502902141056e+19,6.441299932148471e+19,7.8338646754374e+19,7.836009888960509e+19,8.250834289641436e+19,4138534804668198.5,5469459287681412.0,4.619613713083033e+16,4.6420232941878136e+16,9715.844627239449,8219.518003250478,1947.8590827884184,1938.7076682897552,13853.943902256808,11776.849581193313,1695.783492297507,1688.0591484260372,1.7629460434280707e+17,9,170,Beta-Gamma,29,D,s,o,3,5.17429e+17
2012-09-28,27563.133928571428,36677.794642857145,333639.8214285714,335696.01785714284,3.772755015343749e+19,4.348182242230428e+19,9.522164188437224e+19,9.521313786210024e+19,9.323817953417047e+19,1.3344691105044156e+19,1.648023253724585e+19,2.6555320911726334e+19,2.688488351898584e+19,4.429108467725538e+19,3655275441756691.0,4864013009669378.0,4.424552914847564e+16,4.4518210924367384e+16,10321.39732137559,8939.495502142967,2152.1189534164005,2138.745827496509,3650.8031522327146,3388.1966401989666,600.1808865843618,603.907546164893,1.7629460434280707e+17,3,130,Alpha,46,H,a,x,0,3.95681e+17
